asm,,,,,,,,,,,,,,,
auto,,,,,,,,,,,,,,,
break,,,,,,,,,,,,,,,
case,,,,,,,,,,,,,,,
catch,,,,,,,,,,,,,,,
char,,,,,,,,,,,,,,,
class,,,,,,,,,,,,,,,
const,,,,,,,,,,,,,,,
continue,,,,,,,,,,,,,,,
default,,,,,,,,,,,,,,,
delete,,,,,,,,,,,,,,,
do,,,,,,,,,,,,,,,\
double,,,,,,,,,,,,,,,
else,,,,,,,,,,,,,,,
enum,,,,,,,,,,,,,,,
extern,,,,,,,,,,,,,,,
float,,,,,,,,,,,,,,,
for,,,,,,,,,,,,,,,
friend,,,,,,,,,,,,,,,
goto,,,,,,,,,,,,,,,
if,,,,,,,,,,,,,,,
inline,,,,,,,,,,,,,,,
int,,,,,,,,,,,,,,,
long,,,,,,,,,,,,,,,
namespace,,,,,,,,,,,,,,,
new,,,,,,,,,,,,,,,
operator,,,,,,,,,,,,,,,
private,,,,,,,,,,,,,,,
protected,,,,,,,,,,,,,,,
public,,,,,,,,,,,,,,,
register,,,,,,,,,,,,,,,
return,,,,,,,,,,,,,,,
short,,,,,,,,,,,,,,,
signed,,,,,,,,,,,,,,,
static,,,,,,,,,,,,,,,
struct,,,,,,,,,,,,,,,
switch,,,,,,,,,,,,,,,
template,,,,,,,,,,,,,,,
this,,,,,,,,,,,,,,,
throw,,,,,,,,,,,,,,,
try,,,,,,,,,,,,,,,
typedef,,,,,,,,,,,,,,,
typename,,,,,,,,,,,,,,,
union,,,,,,,,,,,,,,,
unsigned,,,,,,,,,,,,,,,
virtual,,,,,,,,,,,,,,,
void,,,,,,,,,,,,,,,
volatile,,,,,,,,,,,,,,,
while,,,,,,,,,,,,,,,
